,year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
41,2023,6,29,13.0,-0.2588190451025208,-0.9659258262890683,1.5130802,1.7430739,1.628077,847.5396556854248,32.43630371093752,0.0,0.7660350799560547,3.2708234786987305,1001.64404296875,52.68708229064941
42,2023,6,29,13.5,-0.38268343236508967,-0.9238795325112868,1.47208,1.7262812,1.5991806,830.4839220046997,32.48076782226565,0.0,0.8189644813537598,3.307372570037842,1001.5936584472656,53.03346157073975
43,2023,6,29,14.0,-0.4999999999999997,-0.8660254037844388,1.4307184,1.7069526,1.5688355,813.4281883239746,32.52523193359377,0.0,0.8718938827514648,3.343921661376953,1001.5432739257812,53.37984085083008
44,2023,6,29,14.5,-0.6087614290087207,-0.7933533402912352,1.3271642,1.5724645,1.4498143,758.70032787323,32.487832641601585,0.0,0.8760066032409668,3.3339009284973145,1001.3902893066406,53.85449981689453
45,2023,6,29,15.0,-0.7071067811865471,-0.7071067811865479,1.1936693,1.4772725,1.3354709,703.9724674224854,32.4504333496094,0.0,0.8801193237304688,3.323880195617676,1001.2373046875,54.32915878295898
46,2023,6,29,15.5,-0.7933533402912349,-0.6087614290087209,1.0135942,1.2372332,1.1254137,614.3855848312378,32.0971618652344,0.0,0.877871036529541,3.222022533416748,1001.2731018066406,56.70894908905029
47,2023,6,29,16.0,-0.8660254037844385,-0.5000000000000004,0.81965923,1.018085,0.9188721,524.7987022399902,31.7438903808594,0.0,0.8756227493286133,3.1201648712158203,1001.3088989257812,59.0887393951416
0,2023,6,28,16.5,-0.9238795325112868,-0.3826834323650895,0.34380317,0.0,0.17190158,103.28265488147736,29.714013671875023,0.0,0.7635259628295898,2.98970890045166,1005.2183532714844,69.28138637542725
1,2023,6,28,17.0,-0.9659258262890683,-0.25881904510252063,0.17936277,0.011883497,0.095623136,65.97739338874817,28.961785888671898,0.0,0.9689016342163086,2.960698127746582,1005.1890258789062,72.53435897827148
2,2023,6,28,17.5,-0.9914448613738104,-0.13052619222005163,0.16615963,0.0,0.083079815,39.08244669437408,28.261102294921898,0.0,0.6179065704345703,3.059945106506348,1005.2507934570312,75.49728965759277
3,2023,6,28,18.0,-1.0,-1.8369701987210297e-16,0.15958524,0.0,0.07979262,12.1875,27.560418701171898,0.0,0.266911506652832,3.1591920852661133,1005.3125610351562,78.46022033691406
