cpu_info,memory_info,size,elapsed_time
8,8,7900,4.602169990539551
8,8,8000,4.647094011306763
8,8,8100,5.123632907867432
8,8,8200,5.010805606842041
8,8,8300,5.426372766494751
8,8,8400,5.311092615127564
8,8,8500,5.743679046630859
8,8,8600,5.730983257293701
8,8,8700,6.133778810501099
8,8,8800,6.114761114120483
8,8,8900,6.5048604011535645
8,8,9000,6.485783100128174
8,8,9100,6.9750378131866455
8,8,9200,6.95447850227356
8,8,9300,7.153692960739136
8,8,9400,7.478398561477661
8,8,9500,7.987623691558838
8,8,9600,7.879226684570312
8,8,9700,8.009632349014282
8,8,9800,8.408498764038086
8,8,9900,8.694582462310791
8,8,100,0.0
8,8,200,0.0
8,8,300,0.0014667510986328
8,8,400,0.0020372867584228
8,8,500,0.004413366317749
8,8,600,0.0058858394622802
8,8,700,0.0185687541961669
8,8,800,0.0195236206054687
8,8,900,0.0146892070770263
8,8,1000,0.0185999870300292
8,8,1100,0.0332129001617431
8,8,1200,0.0527341365814209
8,8,1300,0.0576176643371582
8,8,1400,0.0634748935699462
8,8,1500,0.0751974582672119
8,8,1600,0.072263479232788
8,8,1700,0.0922853946685791
8,8,1800,0.0966827869415283
8,8,1900,0.1152348518371582
8,8,2000,0.1093404293060302
8,8,2100,0.1191513538360595
8,8,2200,0.1181704998016357
8,8,2300,0.1225659847259521
8,8,2400,0.1386725902557373
8,8,2500,0.1943182945251464
8,8,2600,0.1923372745513916
8,8,2700,0.2148489952087402
8,8,2800,0.2568416595458984
8,8,2900,0.2636301517486572
8,8,3000,0.2880032062530517
8,8,3100,0.2939262390136719
8,8,3200,0.310528039932251
8,8,3300,0.3475947380065918
8,8,3400,0.365192174911499
8,8,3500,0.4140293598175049
8,8,3600,0.455512523651123
8,8,3700,0.4887359142303467
8,8,3800,0.5068185329437256
8,8,3900,0.545346736907959
8,8,4000,0.5736520290374756
8,8,4100,0.6493215560913086
8,8,4200,0.6952605247497559
8,8,4300,0.7480063438415527
8,8,4400,0.8017158508300781
8,8,4500,0.8475430011749268
8,8,4600,0.9056410789489746
8,8,4700,0.9637618064880372
8,8,4800,0.9970438480377196
8,8,4900,1.0624127388000488
8,8,5000,1.1112244129180908
8,8,5100,1.2034928798675537
8,8,5200,1.3309788703918457
8,8,5300,1.341722011566162
8,8,5400,1.423222303390503
8,8,5500,1.465219497680664
8,8,5600,1.5648059844970703
8,8,5700,1.6478078365325928
8,8,5800,1.75130033493042
8,8,5900,1.851867437362671
8,8,6000,1.9788503646850584
8,8,6100,2.058408260345459
8,8,6200,2.130693197250366
8,8,6300,2.2420458793640137
8,8,6400,2.306455373764038
8,8,6500,2.47294545173645
8,8,6600,2.5622870922088623
8,8,6700,2.646735429763794
8,8,6800,2.786867141723633
8,8,6900,2.907456874847412
8,8,7000,3.075434446334839
8,8,7100,3.147696018218994
8,8,7200,3.292684555053711
8,8,7300,3.405979633331299
8,8,7400,3.589625358581543
8,8,7500,3.745816469192505
8,8,7600,3.9327564239501953
8,8,7700,4.015804529190064
8,8,7800,4.193081617355347
8,8,7900,4.3473100662231445
8,8,8000,4.4859619140625
8,8,8100,4.702749729156494
8,8,8200,4.86684250831604
8,8,8300,5.0664918422698975
8,8,8400,5.208563327789307
8,8,8500,5.417055130004883
8,8,8600,5.589371681213379
8,8,8700,5.84670877456665
8,8,8800,5.9643635749816895
8,8,8900,6.152334451675415
8,8,9000,6.410083770751953
8,8,9100,6.629867315292358
8,8,9200,6.928164482116699
8,8,9300,7.122000694274902
8,8,9400,7.240161418914795
8,8,9500,7.489170789718628
8,8,9600,7.699105978012085
8,8,9700,7.952002763748169
8,8,9800,8.163405895233154
8,8,9900,8.53934097290039
8,8,10000,8.969536781311035
8,8,10100,9.355722665786743
8,8,10200,9.773619174957275
8,8,10300,9.95378565788269
8,8,10400,10.105143070220947
8,8,10500,10.355095148086548
8,8,10600,10.887282609939575
8,8,10700,10.857524156570436
8,8,10800,11.416079759597778
8,8,10900,11.501532316207886
8,8,11000,12.167891025543211
8,8,11100,12.168344974517822
8,8,11200,12.715975761413574
8,8,11300,12.706127166748049
8,8,11400,13.446770191192629
8,8,11500,13.62369155883789
8,8,11600,14.560303449630736
8,8,11700,13.92839741706848
8,8,11800,14.709570407867432
8,8,11900,14.784223794937134
8,8,12000,15.127480506896973
8,8,12100,15.788569450378418
8,8,12200,16.66543412208557
8,8,12300,16.696717500686646
8,8,12400,17.189853191375732
8,8,12500,17.675629138946533
8,8,12600,18.10043168067932
8,8,12700,18.383126735687256
8,8,12800,18.94950032234192
8,8,12900,19.38109278678894
8,8,100,0.0
8,8,200,0.000962495803833
8,8,300,0.0010490417480468
8,8,400,0.007822036743164
8,8,500,0.012732982635498
8,8,600,0.0049242973327636
8,8,700,0.0078814029693603
8,8,800,0.0088157653808593
8,8,900,0.0239477157592773
8,8,1000,0.0175974369049072
8,8,1100,0.0302717685699462
8,8,1200,0.0517544746398925
8,8,1300,0.0459282398223876
8,8,1400,0.0615057945251464
8,8,1500,0.0771334171295166
8,8,1600,0.0839874744415283
8,8,1700,0.0761363506317138
8,8,1800,0.0849311351776123
8,8,1900,0.101531982421875
8,8,2000,0.1044690608978271
8,8,2100,0.1122791767120361
8,8,2200,0.1200730800628662
8,8,2300,0.1523253917694091
8,8,2400,0.1396267414093017
8,8,2500,0.1533372402191162
8,8,2600,0.1767511367797851
8,8,2700,0.1904306411743164
8,8,2800,0.2245826721191406
8,8,2900,0.2480533123016357
8,8,3000,0.2792763710021972
8,8,3100,0.3056526184082031
8,8,3200,0.351541519165039
8,8,3300,0.4169881343841553
8,8,3400,0.4062519073486328
8,8,3500,0.4326167106628418
8,8,3600,0.5858957767486572
8,8,3700,0.6815919876098633
8,8,3800,0.6191482543945312
8,8,3900,0.6640291213989258
8,8,4000,0.7177348136901855
8,8,4100,0.7475235462188721
8,8,4200,0.8066480159759521
8,8,4300,0.8300716876983643
8,8,4400,0.8886561393737793
8,8,4500,0.9491860866546632
8,8,4600,1.0263164043426514
8,8,4700,0.9813995361328124
8,8,4800,1.008281946182251
8,8,4900,1.0995604991912842
8,8,5000,1.1679580211639404
8,8,5100,1.2285068035125732
8,8,5200,1.3095180988311768
8,8,5300,1.3495619297027588
8,8,5400,1.4115748405456543
8,8,5500,1.5194768905639648
8,8,5600,1.6122171878814695
8,8,5700,1.671327829360962
8,8,5800,1.7772750854492188
8,8,5900,1.9628219604492188
8,8,6000,1.9628276824951167
8,8,6100,2.1215388774871826
8,8,6200,2.1576390266418457
8,8,6300,2.2382023334503174
8,8,6400,2.32263731956482
8,8,6500,2.485753297805786
8,8,6600,2.61515474319458
8,8,6700,2.673776149749756
8,8,6800,2.818260908126831
8,8,6900,2.96964430809021
8,8,7000,3.074640274047852
8,8,7100,3.197115421295166
8,8,7200,3.371950149536133
8,8,7300,3.499471664428711
8,8,7400,3.680616855621338
8,8,7500,3.816527843475342
8,8,7600,3.9807748794555664
8,8,7700,4.150906562805176
8,8,7800,4.306435823440552
8,8,7900,4.523934602737427
8,8,8000,4.596459865570068
8,8,8100,4.797919034957886
8,8,8200,4.999856472015381
8,8,8300,5.123286247253418
8,8,8400,5.34675145149231
8,8,8500,5.455522537231445
8,8,8600,5.6883180141448975
8,8,8700,5.831278085708618
8,8,8800,6.068023443222046
8,8,8900,6.233474254608154
8,8,9000,6.458500862121582
8,8,9100,6.746016025543213
8,8,9200,7.003777027130127
8,8,9300,7.213754653930664
8,8,9400,7.32013726234436
8,8,9500,7.642404317855835
8,8,9600,7.729795217514038
8,8,9700,8.085233449935913
8,8,9800,8.274661540985107
8,8,9900,8.554905414581299
8,8,10000,8.861060857772827
8,8,10100,9.131088733673096
8,8,10200,9.336129188537598
8,8,10300,9.68671703338623
8,8,10400,9.90061378479004
8,8,10500,10.283366203308104
8,8,10600,10.642743110656738
8,8,10700,11.117804288864136
8,8,10800,11.189101934432983
8,8,10900,11.478639841079712
8,8,11000,11.832655191421509
