number_of_data,real_execution_time
1700,13.815205097198486
1800,14.327418327331543
1900,14.913330793380737
2000,15.643327236175537
2100,16.318605422973633
2200,17.057371854782104
2300,18.90253973007202
2400,18.28243851661682
2500,19.731139659881592
2600,20.26871156692505
2700,20.77216601371765
2800,21.322431802749634
2900,22.13391637802124
3000,22.314606428146362
3100,23.112931489944458
3200,22.902966499328613
3300,25.500092267990112
3400,26.600664854049683
3500,26.68803310394287
3600,27.334035873413086
3700,27.752007961273193
3800,28.370161771774292
3900,27.134388208389282
4000,25.883406400680542
4100,27.459049701690674
4200,28.27886128425598
4300,28.366238117218018
4400,30.214865684509277
4500,30.722659826278687
4600,30.991698503494263
4700,31.680172204971313
4800,30.986821174621582
4900,32.16075038909912
5000,33.10440015792847
5100,33.38777256011963
5200,33.8267548084259
5300,34.531020402908325
5400,36.02408528327942
5500,35.95031261444092
5600,35.85958647727966
5700,37.38220024108887
5800,37.990362882614136
5900,38.31834125518799
6000,38.79082155227661
6100,39.338568687438965
6200,39.60413312911987
6300,40.99419450759888
6400,41.603044748306274
6500,43.29683709144592
6600,43.29288053512573
6700,43.76892709732056
6800,43.900766372680664
6900,44.16439437866211
7000,46.09551763534546
7100,46.1511664390564
7200,44.14974331855774
7300,46.164849281311035
7400,49.14040660858154
7500,50.29469180107117
7600,50.33278155326843
7700,50.910396575927734
7800,50.506097078323364
7900,51.17697787284851
8000,49.72387146949768
8100,52.154990911483765
8200,52.69354224205017
8300,53.97531747817993
8400,55.35661840438843
8500,55.826841831207275
8600,56.03433108329773
8700,56.630537033081055
8800,55.006006479263306
8900,57.05857729911804
9000,57.78283357620239
9100,57.959593534469604
9200,58.17026448249817
9300,58.89179706573486
9400,62.050994873046875
9500,63.660929918289185
9600,61.69571042060852
9700,65.4083182811737
9800,65.40860414505005
9900,65.7751076221466
10000,65.22808361053467
10100,66.82610702514648
10200,66.90955328941345
10300,65.94949531555176
10400,68.30296754837036
10500,70.85024547576904
10600,69.82042193412781
10700,69.71638751029968
10800,70.71590566635132
10900,70.04593515396118
11000,70.7900538444519
11100,71.87060046195984
11200,68.52690505981445
11300,72.53905630111694
11400,77.00478291511536
11500,77.73525762557983
11600,76.13578033447266
11700,76.21789026260376
11800,77.19304132461548
11900,76.47615075111389
12000,74.00850653648376
12100,77.393718957901
12200,78.0055820941925
12300,79.49985599517822
12400,82.47126936912537
12500,81.98524498939514
12600,82.58909225463867
12700,83.90295243263245
12800,80.29549789428711
12900,83.30907392501831
13000,84.12203168869019
13100,83.34661817550659
13200,84.56140065193176
13300,90.02469611167908
13400,88.79521441459656
13500,89.89772772789001
13600,86.53792691230774
13700,89.81276226043701
13800,91.48884654045105
13900,89.98983120918274
14000,90.21325159072876
14100,90.31313252449036
14200,91.19709825515747
14300,96.88201785087585
14400,92.47971844673157
14500,96.51943302154541
14600,97.18180227279663
14700,96.10403251647949
14800,96.67129158973694
14900,96.27768516540527
15000,98.06224608421326
15100,96.54568672180176
15200,95.02419972419739
15300,104.1387939453125
15400,105.41610789299011
15500,105.49130034446716
15600,105.28868436813354
15700,104.45103859901428
15800,103.81909847259521
15900,104.52574682235718
16000,99.98224186897278
16100,103.84704494476318
16200,102.45375156402588
16300,111.10391998291016
16400,110.65892839431763
16500,112.15633940696716
16600,112.18162822723389
16700,112.30229663848877
16800,107.22207546234131
16900,111.15082359313965
17000,109.8264377117157
17100,109.02623963356018
17200,120.27197670936584
17300,120.35914731025696
17400,120.63835024833679
17500,118.24033665657043
